# t theta1 omega1 theta2 omega2 KE1 PE1 KE2 PE2 E_Total
2.06000000 0.19694268 -0.13331920 -0.14913850 0.02950064 0.00888700 0.18963327 0.00043514 0.10889638 0.78694054
2.07000000 0.19546599 -0.16197955 -0.14881841 0.03452817 0.01311869 0.18680918 0.00059610 0.10843031 0.78308126
2.08000000 0.19370397 -0.19037583 -0.14844769 0.03963040 0.01812148 0.18346689 0.00078528 0.10789174 0.77853643
2.09000000 0.19165950 -0.21846299 -0.14802552 0.04482006 0.02386304 0.17962628 0.00100442 0.10728006 0.77331745
2.10000000 0.18933589 -0.24619675 -0.14755096 0.05010926 0.03030642 0.17531018 0.00125547 0.10659455 0.76743760
2.11000000 0.18673689 -0.27353366 -0.14702296 0.05550950 0.03741033 0.17054417 0.00154065 0.10583441 0.76091211
2.12000000 0.18386668 -0.30043128 -0.14644036 0.06103151 0.04512948 0.16535648 0.00186242 0.10499880 0.75375815
2.13000000 0.18072987 -0.32684822 -0.14580189 0.06668525 0.05341488 0.15977779 0.00222346 0.10408684 0.74599492
2.14000000 0.17733145 -0.35274424 -0.14510619 0.07247979 0.06221425 0.15384103 0.00262666 0.10309763 0.73764369
2.15000000 0.17367685 -0.37808038 -0.14435180 0.07842326 0.07147239 0.14758116 0.00307510 0.10203030 0.72872783
2.16000000 0.16977184 -0.40281904 -0.14353720 0.08452281 0.08113159 0.14103501 0.00357205 0.10088397 0.71927284
2.17000000 0.16562258 -0.42692403 -0.14266080 0.09078449 0.09113207 0.13424098 0.00412091 0.09965788 0.70930641
2.18000000 0.16123558 -0.45036072 -0.14172095 0.09721329 0.10141239 0.12723885 0.00472521 0.09835130 0.69885841
2.19000000 0.15661770 -0.47309605 -0.14071597 0.10381300 0.11190994 0.12006952 0.00538857 0.09696366 0.68796094
2.20000000 0.15177611 -0.49509864 -0.13964411 0.11058624 0.12256133 0.11277477 0.00611466 0.09549451 0.67664826
